SOURCE	TARGET	ENZYMES
C14825	C01595	1.14.14.1
C00712	C06428	3.1.2.2
C00712	C01530	3.1.2.14;3.1.2.2
C00712	C01595	;3.1.2.14;3.1.2.2
C00712	C00249	;3.1.2.14;3.1.2.2
CE6506	CE2006	
CE6506	C08261	
C14827	C01595	1.13.11.34
C14826	C01595	1.14.14.1
C04717	C01601	
C04717	CE2576	
C04717	C01595	;1.13.11.33;1.13.11.12
C04717	CE5526	
C01601	CE2576	
CE5527	CE5526	
C08261	CE2577	
C06428	C01530	3.1.2.2
C06428	C01595	3.1.2.2
C06428	C00249	3.1.2.2
CE2576	CE2577	
C01530	C01595	3.1.2.14;3.1.2.2;6.2.1.3
C01530	C00249	3.1.2.14;3.1.2.2;6.2.1.3
C01595	C00249	;3.1.2.14;3.1.2.2;6.2.1.3
