EID	massfeature_rows	str_row_ion	compounds	compound_names
E1	row1637;row1667;row437	row1637_M+H[1+];row1667_M-C3H4O2+H[1+];row437_M-NH3+H[1+]	C02838	L-Octanoylcarnitine
E2	row3763	row3763_M+H[1+]	C02838	L-Octanoylcarnitine
E6	row18;row737	row18_M+HCOOK[1+];row737_M+H[1+]	CE5932;C02075;C06428;CE5013	13,14-epoxy-retinol$Retinyl ester; all-trans-Retinyl ester$(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid; Eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate$
E13	row1039;row28;row38	row1039_M-HCOOH+H[1+];row28_M-H4O2+H[1+];row38_M-H2O+H[1+]	C06103	6-Hydroxyhexanoic acid; 6-Hydroxyhexanoate
E15	row1154;row3953	row1154_M+H[1+];row3953_M-HCOOH+H[1+]	C06103	6-Hydroxyhexanoic acid; 6-Hydroxyhexanoate
E18	row31;row48;row73	row31_M+H2O+H[1+];row48_M-CO+H[1+];row73_M+H[1+]	C02576	Perillyl aldehyde; Perillaldehyde
E19	row103;row122;row31;row48;row50;row73	row103_M-CO2+H[1+];row122_M-C3H4O2+H[1+];row31_M+H[1+];row48_M-HCOOH+H[1+];row50_M-CO+H[1+];row73_M-H2O+H[1+]	CE2061	
E25	row2681;row36;row74	row2681_M+H[1+];row36_M+3H[3+];row74_M-CO+H[1+]	CE5526;CE5527;C14765	$$13-OxoODE; 13-KODE; (9Z,11E)-13-Oxooctadeca-9,11-dienoic acid
E26	row145;row236;row2743;row37;row62;row75;row77;row82	row145_M-C3H4O2+H[1+];row236_M-CO2+H[1+];row2743_M-H4O2+H[1+];row37_M-HCOOH+H[1+];row62_M+H[1+];row75_M-H2O+H[1+];row77_M-CO+H[1+];row82_M-CO2+H[1+]	CE2577	
E27	row167;row2604;row2750;row3985;row426;row973	row167_M-HCOOH+H[1+];row2604_M-CO+H[1+];row2750_M+H[1+];row3985_M+H[1+];row426_M-CO+H[1+];row973_M-HCOOH+H[1+]	CE2577	
