pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Linoleate metabolism	13	15	8.402655239055541e-05	E123,E203,E92,E26,E109,E125,E27,E108,E19,E110,E91,E86,E25	CE2576,C14762/C14826/C14825,C08261,CE2577,CE2006/CE6506,CE2576,CE2577,CE2006/CE6506,CE2061,C04717/C14827,C01595,C01601,CE5526/CE5527/C14765	$13(S)-HODE; (13S)-Hydroxyoctadecadienoic acid; (9Z, 11E)-(13S)-13-Hydroxyoctadeca-9,11-dienoic acid/12(13)-EpOME; (12R,13S)-(9Z)-12,13-Epoxyoctadecenoic acid/9(10)-EpOME; (9R,10S)-(12Z)-9,10-Epoxyoctadecenoic acid$$$/$$$/$$(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid; (9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoate; 13(S)-HPODE; 13S-Hydroperoxy-9Z,11E-octadecadienoic acid/9(S)-HPODE; 9(S)-HPOD; (10E,12Z)-(9S)-9-Hydroperoxyoctadeca-10,12-dienoic acid$linoleic acid (all cis C18:2) n-6$$//13-OxoODE; 13-KODE; (9Z,11E)-13-Oxooctadeca-9,11-dienoic acid
Limonene and pinene degradation	3	3	0.012435929753802201	E114,E187,E18	C06078/C00521/C06099/C06306,C02452/C11409/C02759/C00964,C02576	/(-)-Limonene; (-)-(S)-Limonene; (-)-(4S)-Limonene/(+)-Limonene; (+)-(R)-Limonene; (+)-(4R)-Limonene/$Perillyl alcohol; (-)-Perillyl alcohol; p-Mentha-1,8-dien-7-ol; (-)-Perillylalcohol/(+)-trans-Carveol; (4S,6R)-trans-Carveol//(-)-trans-Carveol$Perillyl aldehyde; Perillaldehyde
De novo fatty acid biosynthesis	7	13	0.014620620115956643	E404,E73,E104,E266,E91,E443,E6	C00249,C01530,C02679,C00712,C01595,C06424,CE5932/C02075/C06428/CE5013	Hexadecanoate (n-C16:0)$octadecanoate (n-C18:0)$Dodecanoate (n-C12:0)$(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid$linoleic acid (all cis C18:2) n-6$tetradecanoate (n-C14:0)$13,14-epoxy-retinol/Retinyl ester; all-trans-Retinyl ester/(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid; Eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate/
Fatty acid activation	7	14	0.020838584992857744	E443,E30,E404,E73,E91,E28,E293	C06424,C06423,C00249,C01530,C01595,C06423,C00246	tetradecanoate (n-C14:0)$Octanoic acid; Caprylic acid; Octylic acid$Hexadecanoate (n-C16:0)$octadecanoate (n-C18:0)$linoleic acid (all cis C18:2) n-6$Octanoic acid; Caprylic acid; Octylic acid$Butanoic acid; Butanoate; Butyrate; Butyric acid
Alkaloid biosynthesis II	3	6	0.07612805646584321	E294,E283,E285	,,	$$
Androgen and estrogen biosynthesis and metabolism	3	6	0.07612805646584321	E146,E199,E198	,,	$$
Di-unsaturated fatty acid beta-oxidation	1	1	0.10805814637425426	E91	C01595	linoleic acid (all cis C18:2) n-6
Benzoate degradation via CoA ligation	1	1	0.10805814637425426	E175		
Ascorbate (Vitamin C) and Aldarate Metabolism	2	4	0.10940257121250314	E197,E195	,	$
Aminosugars metabolism	4	11	0.11704898748004369	E554,E149,E522,E516	,,,	$$$
Arginine and Proline Metabolism	10	34	0.13208974035795312	E554,E53,E158,E605,E162,E583,E487,E483,E512,E516	,,,,,,,,,	$$$$$$$$$
Glutathione Metabolism	4	12	0.1664566002856903	E488,E554,E483,E487	,,,	$$$
C21-steroid hormone biosynthesis and metabolism	4	12	0.1664566002856903	E146,E219,E199,E198	,,,	$$$
Vitamin E metabolism	3	9	0.19813461053692966	E195,E197,E278	,,	$$
Vitamin B3 (nicotinate and nicotinamide) metabolism	4	13	0.20275607091841022	E554,E512,E268,E516	,,,	$$$
Polyunsaturated fatty acid biosynthesis	1	2	0.21930930173934962	E73	C01530	octadecanoate (n-C18:0)
Fatty Acid Metabolism	6	22	0.22527518695907908	E404,E389,E104,E73,E91,E443	C00249,,C02679,C01530,C01595,C06424	Hexadecanoate (n-C16:0)$$Dodecanoate (n-C12:0)$octadecanoate (n-C18:0)$linoleic acid (all cis C18:2) n-6$tetradecanoate (n-C14:0)
Carnitine shuttle	5	19	0.25056717922863625	E407,E389,E310,E279,E311	,,,,	$$$$
Hexose phosphorylation	3	11	0.2614066044870179	E415,E498,E522	,,	$$
Selenoamino acid metabolism	2	7	0.269893286278464	E319,E488	,	$
Lysine metabolism	6	24	0.2722460297453995	E525,E554,E158,E162,E583,E389	,,,,,	$$$$$
