SOURCE	TARGET	ENZYMES
C05642	C00525	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C05642	C00078	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C05642	C05647	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00328	C00025	2.6.1.7
C00328	C01717	2.6.1.7
C00328	C01252	2.6.1.7
C00064	C04148	2.3.1.14
C00064	C00152	3.5.1.38;6.3.5.4
C00064	C00025	2.6.1.16;;6.3.5.3;6.3.5.2;6.3.5.5;6.3.5.4;6.3.4.2;2.4.2.14;3.5.1.38;6.3.1.2;3.5.1.2;6.3.5.1
C00064	C00073	
C00152	C00025	2.3.1.1;3.5.1.38;6.3.5.4
C00525	C00078	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C00525	C05647	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00078	C00073	;1.4.3.2
C00078	C00936	
C00078	C05647	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C00025	C01717	;2.6.1.7
C00025	C00073	;2.3.1.1;2.6.1.5
C00025	C01252	;2.6.1.7
C01717	C01252	;2.6.1.7
C00155	C00073	;2.1.1.13;2.1.1.5;2.1.1.10
