EID	massfeature_rows	str_row_ion	compounds	compound_names
E2	row1;row22	row1_M[1+];row22_M+H[1+]	C00418	(R)-Mevalonate
E7	row386;row87	row386_M-NH3+H[1+];row87_M+H[1+]	C00064;C05100;C00819	L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid
E9	row174	row174_M+H[1+]	C00064;C05100;C00819	L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid
E10	row264	row264_M-H2O+H[1+]	C00064;C05100;C00819	L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid
E11	row11;row13;row18;row2;row431;row79	row11_M+Na[1+];row13_M-HCOOH+H[1+];row18_M-NH3+H[1+];row2_M+H[1+];row431_M-H2O+H[1+];row79_M(C13)+H[1+]	C00064;C05100;C00819	L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid
E14	row264	row264_M+H[1+]	C00906	5,6-Dihydrothymine
E15	row114;row13;row2;row431;row474	row114_M+Na[1+];row13_M-CO+H[1+];row2_M+H2O+H[1+];row431_M+H[1+];row474_M(C13)+H[1+]	C00906	5,6-Dihydrothymine
E18	row174;row391;row419;row447	row174_M-CO+H[1+];row391_M-H4O2+H[1+];row419_M-H2O+H[1+];row447_M+H[1+]	C00439	N-Formimidoyl-L-glutamate
E24	row5	row5_M+H[1+]	C00245	Taurine
E31	row281;row288	row281_M+H[1+];row288_M(C13)+H[1+]	C05842;C05843	N1-Methyl-2-pyridone-5-carboxamide; N'-Methyl-2-pyridone-5-carboxamide; 1-Methyl-5-carboxylamide-2-pyridone$N1-Methyl-4-pyridone-5-carboxamide; N'-Methyl-4-pyridone-5-carboxamide; 1-Methyl-4-pyridone-3-carboximide
E35	row386	row386_M+H[1+]	C01879;C04281;C04282;C02238	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate$5-Oxo-L-proline
E36	row47	row47_M+H[1+]	C01879;C04281;C04282;C02238	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate$5-Oxo-L-proline
E38	row102;row16;row18;row312;row575	row102_M-HCOOH+H[1+];row16_M(C13)+H[1+];row18_M+H[1+];row312_M+H2O+H[1+];row575_M-CO+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate
E39	row386	row386_M-H2O+H[1+]	C00217;C00025;C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-Glutamate$L-4-Hydroxyglutamate semialdehyde
E40	row47	row47_M-H2O+H[1+]	C00217;C00025;C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-Glutamate$L-4-Hydroxyglutamate semialdehyde
E41	row155;row573;row82	row155_M-CO+H[1+];row573_M+H[1+];row82_M-HCOOH+H[1+]	C00217;C00025;C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-Glutamate$L-4-Hydroxyglutamate semialdehyde
E43	row18;row280;row312;row460;row575	row18_M-H2O+H[1+];row280_M(C13)+H[1+];row312_M+H[1+];row460_M-CO+H[1+];row575_M-HCOOH+H[1+]	C00217;C00025;C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-Glutamate$L-4-Hydroxyglutamate semialdehyde
E46	row18;row312	row18_M+H[1+];row312_M+H2O+H[1+]	C02238	5-Oxo-L-proline
E61	row21	row21_M+H[1+]	C02642;C00152	N-Carbamoyl-beta-alanine$L-Asparagine
E62	row161	row161_M+H[1+]	C02642;C00152	N-Carbamoyl-beta-alanine$L-Asparagine
E68	row426	row426_M-H2O+H[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate
E69	row30	row30_M+H[1+]	C06124	Sphingosine 1-phosphate
E70	row29	row29_M+H[1+]	C06124	Sphingosine 1-phosphate
E71	row34	row34_M+H[1+]	C05522;C00380	Cytosine (in DNA)$Cytosine
E73	row50	row50_M+H[1+]	C00155	L-Homocysteine
E74	row53	row53_M+H[1+]	C00491	L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid
E75	row58	row58_M+Na[1+]	tmndnccrn	Timnodonyl carnitine
