massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	481.2325180053711	7.884399166666666	4.5777338771419596e-86	232.540494167207	7219
row2	302.19606806437173	10.477401111111107	9.11664252255317e-14	-11.712335400089998	3013
row3	202.18020909627282	11.9765375	1.5536781037527699e-13	-11.4503189246329	2092
row4	216.19581858317054	10.855802222222216	2.90404658418984e-13	-11.1976229709867	2233
row5	203.18358840942383	11.974606666666665	4.1882282478261406e-13	-11.0289583531526	2106
row6	217.19912096659343	10.851871111111107	4.1882282478261406e-13	-10.9478625331496	2254
row7	317.21518503824865	9.938294444444443	4.1882282478261406e-13	-10.9435773883208	3086
row8	316.2117558797201	9.939838333333332	6.219595174094411e-13	-10.799356833777098	3080
row9	330.22732289632165	9.587620277777775	9.20990357746608e-13	-10.6608270869129	3136
row10	419.1697614034017	5.831959444444443	9.30118277625033e-13	-10.629633764140099	3395
row11	218.1750239836864	11.533125213675214	9.53612219130805e-13	-10.5876911445455	2263
row12	200.16460253397625	11.236842222222226	9.53612219130805e-13	-10.5735971765229	2075
row13	409.1740717004848	5.643953086419754	9.627687202727678e-13	-10.549402933268501	5219
row14	208.15461819966637	11.445500555555556	1.1021357796753898e-12	-10.4929549910206	2149
row15	388.1961008707683	5.635281111111111	1.10247147468175e-12	-10.4671435295915	3315
row16	307.2064048222133	12.516952083333335	1.10247147468175e-12	-10.4569098306099	3033
row17	257.19830856323244	12.900623333333332	1.26168632839123e-12	-10.404321523034	2679
row18	387.1924929300944	5.6359699999999995	1.2716081026633e-12	-10.3868590812327	3313
row19	350.084412947945	9.23999927536232	1.51234229484237e-12	-10.3258180918242	3200
row20	401.1591809590658	5.806950833333335	2.49766886034038e-12	-10.177857281327599	3359
row21	416.22758611043287	9.602101944444446	5.91621972967178e-12	-9.93540821848855	3394
row22	170.11755106999325	6.169358333333334	6.5158645900726204e-12	9.89748510343343	6831
row23	200.1646194458008	10.120212222222221	1.32209988045171e-11	-9.698757985471529	2076
row24	283.1173594156901	5.743543055555557	1.51437815934412e-11	-9.65177736096907	2902
row25	250.1905574798584	13.406253611111113	2.92927809609162e-11	-9.46551630779881	2597
row26	540.4260045369466	8.874560277777782	2.92927809609162e-11	-9.457471889621289	3650
row27	125.0960879643758	5.775487499999998	1.23708756810713e-10	-9.071767656116519	875
row28	97.06481952667237	5.704572222222224	1.40178880918529e-10	-9.02985924620517	333
row29	430.2433464050293	9.377721388888894	1.42167859889642e-10	-9.01709281028906	3436
row30	568.4571253458657	8.823653333333333	1.96159847995236e-10	-8.923809772739311	3688
row31	169.12232666015626	5.714640833333334	1.96159847995236e-10	-8.916326652781411	1665
row32	127.07534077962241	5.8845100000000015	1.99651778750271e-10	-8.90353288694747	908
row33	463.3028104146322	5.608752777777778	2.42022174240823e-10	-8.84575124408994	3513
row34	345.12907918294263	9.24341984126984	3.51822948143118e-10	-8.74134103729298	7167
row35	243.18279766214303	13.643666666666665	6.03380968882349e-10	-8.59473404281931	2500
row36	99.08043378194174	5.7265519444444415	6.10542282465427e-10	-8.58443773784317	374
row37	109.10121326446531	6.018266111111108	7.626856336778e-10	-8.52009976032923	574
