massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	148.07345756155544	11.915376878181446	1.70727114761021e-07	-7.23024757293279	633
row2	147.07640748274954	11.905213776127336	1.70727114761021e-07	-7.0509951067664405	613
row3	905.5937710121028	2.9989393770564763	1.70727114761021e-07	-7.0486083823492	3109
row4	810.6000113236278	3.1712747307827622	3.35470261494961e-07	-6.77356049711558	2989
row5	126.0219806871916	12.209535511372454	3.35470261494961e-07	-6.770043498975902	324
row6	782.5687384354442	3.204236220992103	4.30001297253182e-07	-6.6684210863749005	2936
row7	812.6144790649414	3.1738542476404548	5.390927007915628e-07	-6.54717532883281	2992
row8	784.5840506302683	3.1956754108132674	5.390927007915628e-07	-6.528308008961519	2938
row9	835.6033615604524	3.1581256673739664	5.390927007915628e-07	-6.518784092973889	3026
row10	171.0764231430857	11.892799220401725	5.57053494646516e-07	-6.4749135482602	951
row11	169.05836848208781	11.897038272605002	5.57053494646516e-07	-6.4536779860596205	926
row12	785.5879516601562	3.2024338052303265	5.57053494646516e-07	-6.4425702118820585	2939
row13	101.07095439850336	11.929978879334824	5.59788397513915e-07	-6.42233416728605	101
row14	191.040284656343	11.911427014102307	6.842034810412721e-07	-6.356761102000481	1236
row15	148.04266542004	6.714252903696113	7.38414680126678e-07	-6.29985441810781	626
row16	131.05327114306002	11.88734120795674	7.38414680126678e-07	-6.298263512255431	397
row17	837.618204752604	3.1507679296929143	7.38414680126678e-07	-6.292076147075	3028
row18	130.04992655703896	11.890277826892214	1.1824035062790702e-06	-6.1652885036289	365
row19	170.06167554098462	11.90249255506668	1.6282683198948201e-06	-6.07504155172643	940
row20	258.1100018149928	11.350615870550547	1.7605161665436799e-06	-6.043737165084161	1993
row21	133.06077505412858	10.333907314956184	2.2897917751872e-06	5.96814234914652	425
row22	149.08066248893738	11.907904572957134	3.67319592916669e-06	-5.84158196089237	659
row23	166.05330748307077	10.840145684201557	3.7649492321040703e-06	5.8246663215134005	893
row24	495.3275594559927	3.861196866296261	4.74239593883371e-06	-5.755592531097231	2695
row25	834.6000561714172	3.156962816942129	4.74239593883371e-06	-5.7396615574195815	3025
row26	836.6139644499748	3.1561264739296693	4.74239593883371e-06	-5.73793604614928	3027
row27	520.3400409096166	3.764698097898109	5.620660255442961e-06	-5.6867787700175585	2720
row28	176.03766284072609	6.714380459353793	5.9349134603802e-06	-5.66436788948709	1031
row29	380.2558107376098	6.713701956844809	1.85147582431858e-05	-5.37195201796823	2549
row30	380.25582956167364	4.248077275139069	1.98845712489432e-05	-5.345422901450942	2548
row31	787.6035939266808	3.1828694994031235	2.19817406018054e-05	-5.3104348447346785	2944
row32	786.6000470613177	3.1871777436438435	2.19817406018054e-05	-5.303792394885269	2942
row33	176.07406287357722	4.276906994865536	2.70177363425733e-05	-5.24369075763954	1034
row34	112.05056200027464	9.76502164353295	3.11518876750075e-05	5.19985369543206	168
row35	796.6194324493408	3.177729068771112	3.17755810452974e-05	-5.18740376122266	2963
row36	807.5720968535452	3.1823487249259754	3.3023116679784804e-05	-5.16709177215692	2982
row37	792.5890053196957	3.17424326168862	3.3023116679784804e-05	-5.15886755268693	2958
row38	171.07645948309647	9.235934544397882	3.3023116679784804e-05	-5.156553704311151	952
row39	809.5875447591147	3.185168864235512	3.38950371268151e-05	-5.1432359688360085	2987
row40	743.5770635431462	3.2019822291768096	3.55426964019182e-05	-5.12458478614559	2876
row41	206.1273452258501	9.281201471607208	3.71982384257869e-05	-5.10656454646932	1449
row42	766.5738016764321	3.192845464594204	3.8676419938730105e-05	-5.09035775943864	2912
row43	469.3119622055365	3.974227894946392	4.36587365994185e-05	-5.053090946289831	2666
row44	512.334872713956	4.200786223475737	4.54642039758288e-05	-5.03669821608991	4343
row45	523.3591457166169	3.73649391466906	5.0739573162851e-05	-5.00249054183552	2725
row46	522.3558831465872	3.736986901958506	5.36640625193703e-05	-4.98226507015321	2724
row47	130.04995717500387	9.235738236152981	6.53170950016073e-05	-4.9255578405274	366
row48	770.6031951904297	3.1982725889677845	7.289287715334721e-05	-4.89140286333069	2921
row49	759.5722881116368	3.2158704317039812	7.610657593318109e-05	-4.87471382749405	2898
row50	136.0427669178356	10.099289180795346	0.000105624662828261	-4.7831897010110485	459
row51	767.5771116059402	3.1909653266929685	0.000107751787882948	-4.761863608884389	2913
row52	194.1468843732561	4.1319048248802615	0.000107751787882948	-4.761438937905299	1299
row53	241.03100315217048	12.597870757674437	0.000107751787882948	-4.75704733986691	1839
row54	191.08493292331696	9.80184624307863	0.000107751787882948	-4.756192827269599	1238
row55	758.5688291850843	3.2135804173217304	0.000107751787882948	-4.75270248155088	2897
row56	213.02221650897332	11.904522592934331	0.000112943785421376	-4.7354476931560585	1517
row57	794.6050793092642	3.173322675393975	0.000117750962462829	-4.719678319758559	2960
row58	468.3084357766543	3.9705792974931056	0.000147052766961065	-4.65579790594571	2664
row59	814.6262374014224	3.1529000260658964	0.000151247603786943	-4.64369623606207	2997
row60	757.5567353347252	3.2222141527784682	0.000167978285450052	-4.61104784266365	2895
row61	496.3396791156969	3.8194716747786335	0.000176124628706736	-4.590228712434951	2696
row62	568.3397577459162	3.674881070206532	0.000176124628706736	-4.58949130376962	2763
row63	498.34583282470703	3.813956823367649	0.000178775514250012	-4.58115689628131	2701
row64	497.3431362352873	3.822709234947065	0.000191758800849237	-4.55799118670826	2698
row65	482.3242121244732	3.85737394875471	0.000198102549889745	-4.5450014626823485	2678
row66	510.3556785583496	3.7555667299139857	0.000263707805070697	-4.46312917861476	2711
row67	832.5839935878537	3.1621105008565693	0.000348800501148562	-4.382338333194	3022
row68	132.05415382385254	11.897504272757521	0.000517419979788166	-4.26890717416722	410
row69	161.0923203901811	6.730591519022108	0.000556128848378771	-4.24466062943422	835
row70	168.1019774350253	6.714412390984943	0.000556128848378771	-4.2406336314968405	3577
row71	400.34202806877363	3.7688438162451448	0.000593558203458308	-4.218389883891311	2600
row72	904.5903413192084	2.9967184966263014	0.000612289143929437	-4.20572773766609	3108
row73	213.12338502945443	6.713599596972838	0.000612568584540637	-4.20171898184916	1526
row74	756.5531342450313	3.2379690459708006	0.000653273649800987	-4.17975687304839	2894
row75	172.0968251479299	6.710384376071064	0.0007469870513841268	4.138034772128671	970
row76	797.6236220537606	3.1602520058825827	0.000784230284551025	-4.12045632903753	2966
row77	158.15401699668482	3.6147946429762916	0.000893900509301823	4.07683334085021	785
row78	769.5926121303012	3.1880956485680785	0.000893900509301823	-4.0757291195018	2918
row79	148.07970658393756	11.903578089878053	0.00096377576250629	-4.05052161896571	634
row80	799.6681079864502	3.29227476759155	0.00101089942111828	-4.0331959462993	2969
row81	209.09213899311263	9.323316198803509	0.0010259959059041599	4.02535641192519	1463
row82	102.05497522065134	9.799513957381537	0.0010301658627373	-4.02065486780176	109
row83	150.05838434319747	9.801560467510669	0.0010369454718298801	-4.01527155915514	667
row84	806.5687849017938	3.1798349846770173	0.00104831311242025	-4.00867308365314	2980
row85	545.3430971891984	3.7169377354093087	0.00109205829852334	-3.993446846144981	2745
row86	689.5586529632112	3.4458984040611678	0.00120777571456929	-3.95887758008144	2837
row87	147.07638807857737	6.878839972532079	0.00120777571456929	-3.95751374814726	614
row88	788.6120846396997	3.1883200045755458	0.00124273202203845	-3.9458932215335096	2949
