EID	massfeature_rows	str_row_ion	compounds	compound_names
E1	row2;row58	row2_M-H2O-H[-];row58_M-H[-]	C05984;C01089;C03197;C06001;C00989	2-Hydroxybutyrate$(R)-3-Hydroxybutanoate; (R)-3-Hydroxybutanoic acid; (R)-3-Hydroxybutyric acid$(S)-3-Hydroxybutanoate$(S)-3-Hydroxyisobutyrate$4-Hydroxybutanoic acid; 4-Hydroxybutanoate; 4-Hydroxybutyric acid
E2	row291	row291_M-H[-]	C05984;C01089;C03197;C06001;C00989;C01188	2-Hydroxybutyrate$(R)-3-Hydroxybutanoate; (R)-3-Hydroxybutanoic acid; (R)-3-Hydroxybutyric acid$(S)-3-Hydroxybutanoate$(S)-3-Hydroxyisobutyrate$4-Hydroxybutanoic acid; 4-Hydroxybutanoate; 4-Hydroxybutyric acid$3-Hydroxy-2-methylpropanoate; 3-Hydroxyisobutyrate; 3-Hydroxyisobutyric acid
E4	row10;row302	row10_M-H[-];row302_M-H2O-H[-]	C14762;C14826;C14825	13(S)-HODE; (13S)-Hydroxyoctadecadienoic acid; (9Z, 11E)-(13S)-13-Hydroxyoctadeca-9,11-dienoic acid$12(13)-EpOME; (12R,13S)-(9Z)-12,13-Epoxyoctadecenoic acid$9(10)-EpOME; (9R,10S)-(12Z)-9,10-Epoxyoctadecenoic acid
E6	row137;row6	row137_M-2H[2-];row6_M-H[-]	C04717;C14827	(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid; (9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoate; 13(S)-HPODE; 13S-Hydroperoxy-9Z,11E-octadecadienoic acid$9(S)-HPODE; 9(S)-HPOD; (10E,12Z)-(9S)-9-Hydroperoxyoctadeca-10,12-dienoic acid
E9	row54	row54_M-H[-]	C00065;C00740	L-Serine$D-Serine
E10	row147;row18;row9	row147_M-H2O-H[-];row18_M(C13)-H[-];row9_M-H[-]	C00064;C05100;C00819	L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid
E11	row10;row322;row326	row10_M-H+O[-];row322_M(C13)-H[-];row326_M-H[-]	C01595	linoleic acid (all cis C18:2) n-6
E12	row11;row12	row11_M(C13)-H[-];row12_M-H[-]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate
E13	row356;row98	row356_M-H[-];row98_M+ACN-H[-]	C00233;C06102;C03465;C00671	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate$(S)-3-Methyl-2-oxopentanoate
E15	row12	row12_M-H[-]	C00671	(S)-3-Methyl-2-oxopentanoate
E16	row12	row12_M-H2O-H[-]	C00418	(R)-Mevalonate
E17	row356	row356_M-H2O-H[-]	C00418	(R)-Mevalonate
E19	row15	row15_M-2H[2-]	C00031;C00221;C00247;C02336;C00267;C00738;C00936;C00095;C00962;C01582;C00795;C00137;C00293;C00124;C00984;C00159	D-Glucose$beta-D-Glucose$L-Sorbose; L-xylo-Hexulose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$D-Hexose$$D-Fructose$beta-D-Galactose$Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$Glucose$D-Galactose$alpha-D-Galactose$D-Mannose
E20	row208	row208_M-H[-]	C00031;C00221;C00247;C02336;C00267;C00738;C00936;C00095;C00962;C01582;C00795;C00137;C00293;C00124;C00984;C00159	D-Glucose$beta-D-Glucose$L-Sorbose; L-xylo-Hexulose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$D-Hexose$$D-Fructose$beta-D-Galactose$Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$Glucose$D-Galactose$alpha-D-Galactose$D-Mannose
E22	row51	row51_M-H[-]	C00031;C00221;C00247;C02336;C00267;C00738;C00936;C00095;C00962;C01582;C00795;C00137;C00293;C00124;C00984;C00159	D-Glucose$beta-D-Glucose$L-Sorbose; L-xylo-Hexulose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$D-Hexose$$D-Fructose$beta-D-Galactose$Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$Glucose$D-Galactose$alpha-D-Galactose$D-Mannose
E23	row266;row270	row266_M-H[-];row270_M(C13)-H[-]	C00031;C00221;C02336;C00267;C00962;C00795;C00137;C00984;C00159	D-Glucose$beta-D-Glucose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$beta-D-Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$alpha-D-Galactose$D-Mannose
E25	row15	row15_M-H[-]	C00577	D-Glyceraldehyde
E28	row15;row16	row15_M-H[-];row16_M(C13)-H[-]	C00256;C01013;C00186;C00184	D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone
E31	row266	row266_M-H[-]	C00247;C00738;C00936;C00095;C01582;C00293;C00124	L-Sorbose; L-xylo-Hexulose$D-Hexose$$D-Fructose$Galactose$Glucose$D-Galactose
E32	row19	row19_M-2H[2-]	C02670;C00072;glac	D-glucurono-6,3-lactone$L-Ascorbate$D-glucurono-6,3-lactone
E34	row19	row19_M-H[-]	C00022;C00222	Pyruvate$3-Oxopropanoate; Malonate semialdehyde
E37	row19	row19_M-H2O-H[-]	C00258	(R)-Glycerate
E39	row370	row370_M-H[-]	C00258	(R)-Glycerate
E42	row41	row41_M-H[-]	C06124	Sphingosine 1-phosphate
E43	row22	row22_M-H[-]	C06124	Sphingosine 1-phosphate
E46	row31	row31_M-H[-]	C00245	Taurine
E48	row34	row34_M-H[-]	C00026	2-Oxoglutarate
E49	row292	row292_M-H[-]	C01732;C00490	Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid$Itaconate; Itaconic acid; Methylenesuccinic acid
E51	row35	row35_M-H[-]	C00209	Oxalate; Oxalic acid; Ethanedioic acid
E53	row123;row36	row123_M-H[-];row36_M(C13)-H[-]	C04555	3beta-Hydroxyandrost-5-en-17-one 3-sulfate; Dehydroepiandrosterone sulfate
E55	row43	row43_M-H[-]	C00491	L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid
E56	row45	row45_M-H2O-H[-]	C01801	Deoxyribose
E59	row293;row45	row293_M-H+O[-];row45_M-H[-]	C00141	3-Methyl-2-oxobutanoate
E61	row451	row451_M-H2O-H[-]	C02170;C00042	Methylmalonate; Methylmalonic acid$Succinate
E62	row416	row416_M-H[-]	C02170;C00042	Methylmalonate; Methylmalonic acid$Succinate
