pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Pyruvate Metabolism	4	4	0.005209646248214436	E34,E28,E64,E65	C00022/C00222,C00256/C01013/C00186/C00184,C00149,C00149	Pyruvate/3-Oxopropanoate; Malonate semialdehyde$D-Lactate/3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid/L-Lactate/Dihydroxyacetone$L-Malate$L-Malate
Glycolysis and Gluconeogenesis	7	10	0.008150575581883875	E28,E34,E19,E128,E22,E64,E65	C00256/C01013/C00186/C00184,C00022/C00222,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159,C00900/C06010,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159,C00149,C00149	D-Lactate/3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid/L-Lactate/Dihydroxyacetone$Pyruvate/3-Oxopropanoate; Malonate semialdehyde$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose$2-Acetolactate/(S)-2-Acetolactate; (S)-2-Hydroxy-2-methyl-3-oxobutanoate$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose$L-Malate$L-Malate
Methionine and cysteine metabolism	8	13	0.01209982354423998	E103,E109,E9,E34,E46,E163,E48,E55	C00073,C00037,C00065/C00740,C00022/C00222,C00245,C00059,C00026,C00491	L-Methionine$Glycine$L-Serine/D-Serine$Pyruvate/3-Oxopropanoate; Malonate semialdehyde$Taurine$Sulfate$2-Oxoglutarate$L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid
Glycosphingolipid metabolism	7	11	0.013024115620536089	E9,E19,E22,E106,E163,E42,E43	C00065/C00740,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159,C00249,C00059,C06124,C06124	L-Serine/D-Serine$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose$Hexadecanoate (n-C16:0)$Sulfate$Sphingosine 1-phosphate$Sphingosine 1-phosphate
Glycerophospholipid metabolism	11	20	0.013024115620536089	E133,E28,E11,E9,E34,E19,E25,E22,E42,E37,E43	C00219,C00256/C01013/C00186/C00184,C01595,C00065/C00740,C00022/C00222,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159,C00577,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159,C06124,C00258,C06124	arachidonic acid$D-Lactate/3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid/L-Lactate/Dihydroxyacetone$linoleic acid (all cis C18:2) n-6$L-Serine/D-Serine$Pyruvate/3-Oxopropanoate; Malonate semialdehyde$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose$D-Glyceraldehyde$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose$Sphingosine 1-phosphate$(R)-Glycerate$Sphingosine 1-phosphate
Fatty Acid Metabolism	5	8	0.031846063356020506	E142,E118,E11,E119,E106	C01530,C02679,C01595,lneldc/ocdcya,C00249	octadecanoate (n-C18:0)$Dodecanoate (n-C12:0)$linoleic acid (all cis C18:2) n-6$linoelaidic acid (all trans C18:2)/octadecadienoate (n-C18:2)$Hexadecanoate (n-C16:0)
Tryptophan metabolism	8	15	0.03445088648012772	E161,E84,E19,E22,E48,E86,E122,E140	C04148/C05642,C00213/C00041/C00099/C00133,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159,C00026,CE2122,C05660,C00078/C00525	alpha-N-Phenylacetyl-L-glutamine/Formyl-N-acetyl-5-methoxykynurenamine$Sarcosine; N-Methylglycine/L-Alanine/beta-Alanine/D-Alanine$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose$2-Oxoglutarate$methyl indole-3-acetate$5-Methoxyindoleacetate$L-Tryptophan/D-Tryptophan
Pyrimidine metabolism	8	15	0.03445088648012772	E84,E34,E10,E56,E129,E150,E81,E83	C00213/C00041/C00099/C00133,C00022/C00222,C00064/C05100/C00819,C01801,C02642/C00152,C00906,C00299,C00106	Sarcosine; N-Methylglycine/L-Alanine/beta-Alanine/D-Alanine$Pyruvate/3-Oxopropanoate; Malonate semialdehyde$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$Deoxyribose$N-Carbamoyl-beta-alanine/L-Asparagine$5,6-Dihydrothymine$Uridine$Uracil
Vitamin B1 (thiamin) metabolism	2	2	0.03924039996638938	E34,E48	C00022/C00222,C00026	Pyruvate/3-Oxopropanoate; Malonate semialdehyde$2-Oxoglutarate
Androgen and estrogen biosynthesis and metabolism	2	2	0.03924039996638938	E53,E163	C04555,C00059	3beta-Hydroxyandrost-5-en-17-one 3-sulfate; Dehydroepiandrosterone sulfate$Sulfate
C21-steroid hormone biosynthesis and metabolism	2	2	0.03924039996638938	E53,E163	C04555,C00059	3beta-Hydroxyandrost-5-en-17-one 3-sulfate; Dehydroepiandrosterone sulfate$Sulfate
Tyrosine metabolism	12	26	0.05251659524409714	E161,E32,E84,E99,E124,E34,E100,E125,E10,E146,E163,E48	C04148/C05642,,C00213/C00041/C00099/C00133,,,C00022/C00222,,,C00064/C05100/C00819,,C00059,C00026	alpha-N-Phenylacetyl-L-glutamine/Formyl-N-acetyl-5-methoxykynurenamine$$Sarcosine; N-Methylglycine/L-Alanine/beta-Alanine/D-Alanine$$$Pyruvate/3-Oxopropanoate; Malonate semialdehyde$$$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$$Sulfate$2-Oxoglutarate
Alanine and Aspartate Metabolism	7	14	0.06344004705486934	E109,E84,E34,E10,E129,E146,E48	C00037,C00213/C00041/C00099/C00133,C00022/C00222,C00064/C05100/C00819,C02642/C00152,,C00026	Glycine$Sarcosine; N-Methylglycine/L-Alanine/beta-Alanine/D-Alanine$Pyruvate/3-Oxopropanoate; Malonate semialdehyde$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$N-Carbamoyl-beta-alanine/L-Asparagine$$2-Oxoglutarate
TCA cycle	4	7	0.07150659608436266	E64,E65,E146,E48	C00149,C00149,,C00026	L-Malate$L-Malate$$2-Oxoglutarate
Propanoate metabolism	3	5	0.08343836652382153	E34,E28,E1	C00022/C00222,C00256/C01013/C00186/C00184,	Pyruvate/3-Oxopropanoate; Malonate semialdehyde$D-Lactate/3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid/L-Lactate/Dihydroxyacetone$
Linoleate metabolism	5	10	0.08881606587681708	E32,E144,E11,E6,E4	,,C01595,,	$$linoleic acid (all cis C18:2) n-6$$
De novo fatty acid biosynthesis	5	10	0.08881606587681708	E142,E133,E118,E11,E106	C01530,C00219,C02679,C01595,C00249	octadecanoate (n-C18:0)$arachidonic acid$Dodecanoate (n-C12:0)$linoleic acid (all cis C18:2) n-6$Hexadecanoate (n-C16:0)
Prostaglandin formation from arachidonate	2	3	0.10049575665910428	E133,E32	C00219,	arachidonic acid$
Selenoamino acid metabolism	2	3	0.10049575665910428	E84,E9	C00213/C00041/C00099/C00133,C00065/C00740	Sarcosine; N-Methylglycine/L-Alanine/beta-Alanine/D-Alanine$L-Serine/D-Serine
Di-unsaturated fatty acid beta-oxidation	1	1	0.12654398790017646	E11	C01595	linoleic acid (all cis C18:2) n-6
Caffeine metabolism	1	1	0.12654398790017646	E132		
Saturated fatty acids beta-oxidation	1	1	0.12654398790017646	E106	C00249	Hexadecanoate (n-C16:0)
D4&E4-neuroprostanes formation	1	1	0.12654398790017646	E32		
Polyunsaturated fatty acid biosynthesis	1	1	0.12654398790017646	E142	C01530	octadecanoate (n-C18:0)
Omega-6 fatty acid metabolism	1	1	0.12654398790017646	E133	C00219	arachidonic acid
Glutathione Metabolism	3	6	0.13032518275775146	E96,E109,E84	,C00037,C00213/C00041/C00099/C00133	$Glycine$Sarcosine; N-Methylglycine/L-Alanine/beta-Alanine/D-Alanine
Valine, leucine and isoleucine degradation	7	17	0.15393664397949752	E59,E12,E13,E15,E94,E48,E1	,,,,,C00026,	$$$$$2-Oxoglutarate$
Chondroitin sulfate degradation	4	9	0.15914629022771196	E19,E156,E163,E22	C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159,,C00059,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159	D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose$$Sulfate$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose
