pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Methionine and cysteine metabolism	2	19	0.00016805310478111083	E2,E1	C05522/C00380,C05522/C00380	Cytosine (in DNA)/Cytosine$Cytosine (in DNA)/Cytosine
Pyrimidine metabolism	2	34	0.0005881858667338879	E2,E1	C05522/C00380,C05522/C00380	Cytosine (in DNA)/Cytosine$Cytosine (in DNA)/Cytosine
Vitamin D3 (cholecalciferol) metabolism	0	0	0.0201663725737333			
Hyaluronan Metabolism	0	5	0.0201663725737333			
N-Glycan biosynthesis	0	2	0.0201663725737333			
Glycolysis and Gluconeogenesis	0	2	0.0201663725737333			
Glycosphingolipid biosynthesis - ganglioseries	0	5	0.0201663725737333			
R Group Synthesis	0	0	0.0201663725737333			
C5-Branched dibasic acid metabolism	0	0	0.0201663725737333			
Pyruvate Metabolism	0	0	0.0201663725737333			
Sialic acid metabolism	0	10	0.0201663725737333			
Chondroitin sulfate degradation	0	5	0.0201663725737333			
Di-unsaturated fatty acid beta-oxidation	0	1	0.0201663725737333			
Putative anti-Inflammatory metabolites formation from EPA	0	4	0.0201663725737333			
Linoleate metabolism	0	16	0.0201663725737333			
Hexose phosphorylation	0	8	0.0201663725737333			
Vitamin B2 (riboflavin) metabolism	0	0	0.0201663725737333			
Squalene and cholesterol biosynthesis	0	2	0.0201663725737333			
Galactose metabolism	0	9	0.0201663725737333			
Keratan sulfate degradation	0	9	0.0201663725737333			
Glycerolipid metabolism	0	0	0.0201663725737333			
Carnitine shuttle	0	17	0.0201663725737333			
3-oxo-10R-octadecatrienoate beta-oxidation	0	2	0.0201663725737333			
Alkaloid biosynthesis II	0	4	0.0201663725737333			
Vitamin B1 (thiamin) metabolism	0	0	0.0201663725737333			
Glycosphingolipid biosynthesis - globoseries	0	5	0.0201663725737333			
Histidine metabolism	0	31	0.0201663725737333			
Vitamin B5 - CoA biosynthesis from pantothenate	0	3	0.0201663725737333			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0.0201663725737333			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.0201663725737333			
Bile acid biosynthesis	0	7	0.0201663725737333			
Parathio degradation	0	0	0.0201663725737333			
Propanoate metabolism	0	2	0.0201663725737333			
Blood Group Biosynthesis	0	0	0.0201663725737333			
Electron transport chain	0	0	0.0201663725737333			
Vitamin H (biotin) metabolism	0	6	0.0201663725737333			
Biopterin metabolism	0	7	0.0201663725737333			
Vitamin E metabolism	0	1	0.0201663725737333			
Androgen and estrogen biosynthesis and metabolism	0	3	0.0201663725737333			
Glycine, serine, alanine and threonine metabolism	0	37	0.0201663725737333			
Caffeine metabolism	0	3	0.0201663725737333			
Lipoate metabolism	0	6	0.0201663725737333			
Heparan sulfate biosynthesis	0	0	0.0201663725737333			
Drug metabolism - cytochrome P450	0	7	0.0201663725737333			
Vitamin B9 (folate) metabolism	0	6	0.0201663725737333			
Tryptophan metabolism	0	44	0.0201663725737333			
Glyoxylate and Dicarboxylate Metabolism	0	0	0.0201663725737333			
Urea cycle/amino group metabolism	0	67	0.0201663725737333			
De novo fatty acid biosynthesis	0	2	0.0201663725737333			
Vitamin A (retinol) metabolism	0	0	0.0201663725737333			
Valine, leucine and isoleucine degradation	0	19	0.0201663725737333			
Fatty Acid Metabolism	0	3	0.0201663725737333			
Glycosaminoglycan degradation	0	0	0.0201663725737333			
Fatty acid oxidation	0	0	0.0201663725737333			
Fructose and mannose metabolism	0	6	0.0201663725737333			
ROS Detoxification	0	0	0.0201663725737333			
Xenobiotics metabolism	0	11	0.0201663725737333			
Saturated fatty acids beta-oxidation	0	2	0.0201663725737333			
CoA Catabolism	0	3	0.0201663725737333			
Omega-3 fatty acid metabolism	0	1	0.0201663725737333			
Butanoate metabolism	0	29	0.0201663725737333			
Mono-unsaturated fatty acid beta-oxidation	0	0	0.0201663725737333			
