CPD_ID	CPD_NAME	mz_row_Statistic	From_mz_row	From_EmpiricalCompound
C14770	11,12-EET	21.0399219048579	row10	E22
C05962		13.117460320892599	row37	E66
C14765	13-OxoODE; 13-KODE; (9Z,11E)-13-Oxooctadeca-9,11-dienoic acid	15.7968241907319	row32	E52
C00777	Retinoate	4.34898331423262	row397	E330
C00245	Taurine	-7.337131906842519	row149	E155
C02218	2-Aminoacrylate; Dehydroalanine	4.55143209027624	row375	E507
C04230	Lysophosphatidylcholine	3.54268104828221	row535	E614
CE5928		8.42804295174827	row124	E51
C06315	Lipoxin B4; LXB4; 5S,14R,15S-Trihydroxy-6E,8Z,10E,12E-eicosatetraenoic acid; (6E,8Z,10E,12E)-(5S,14R,15S)-Trihydroxyicosa-6,8,10,12-tetraenoic acid	4.10553441150972	row431	E161
C08261		-4.11596128062113	row429	E563
C00217	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid	-9.10639742470806	row108	E142
C05955	Prostaglandin C2; PGC2	6.787656560755019	row167	E51
C02165	Leukotriene B4	15.9902159494115	row31	E32
C14769	8,9-EET; (5Z,11Z,14Z)-8,9-Epoxyeicosa-5,11,14-trienoic acid; (5Z,11Z,14Z)-8,9-Epoxyicosa-5,11,14-trienoic acid	13.286486365941	row36	E22
C05957	Prostaglandin J2; PGJ2	4.10553441150972	row431	E51
CE5535		4.10553441150972	row431	E51
C04849	(5Z,9E,14Z)-(8xi,11R,12S)-11,12-Epoxy-8-hydroxyicosa-5,9,14-trienoic acid; (5Z,9E,14Z)-(8xi,11R,12S)-11,12-Epoxy-8-hydroxyicosa-5,9,14-trienoate; Hepoxilin A3	3.2505849225171803	row588	E32
C14770	11,12-EET	13.286486365941	row36	E22
CE5527		11.413307260099401	row58	E52
CE5013		13.286486365941	row36	E21
CE5527		5.07313365668975	row291	E52
C01595	linoleic acid (all cis C18:2) n-6	-5.036842499213019	row293	E289
C14813	11H-14,15-EETA; 11-Hydroxy-14,15-EETA; 11-Hydroxy-14,15-epoxyeicosatrienoic acid; (5Z,8Z,12E)-14,15-Epoxy-11-hydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-14,15-Epoxy-11-hydroxyicosa-5,8,12-trienoic acid	4.34898331423262	row397	E32
C14771	14,15-EET; (5Z,8Z,11Z)-14,15-Epoxyeicosa-5.8.11-trienoic acid; (5Z,8Z,11Z)-14,15-Epoxyicosa-5.8.11-trienoic acid	11.1054932216958	row65	E22
C14826	12(13)-EpOME; (12R,13S)-(9Z)-12,13-Epoxyoctadecenoic acid	-6.24195288236542	row203	E84
CE5016	13,14-dihydroxy-retinol	21.0399219048579	row10	E22
C00245	Taurine	-6.34365811877874	row193	E155
CE2061		4.961531111982071	row302	E421
C05959	11-epi-Prostaglandin F2alpha; 11-epi-Prostaglandin F2a; 11-epi-PGF2alpha; 11-epi-PGF2a	4.34898331423262	row397	E30
C06426	(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid	12.9214407902525	row40	E83
C02165	Leukotriene B4	4.34898331423262	row397	E32
C05938	L-4-Hydroxyglutamate semialdehyde	3.82059072657676	row479	E142
C00909	Leukotriene A4	19.5767501760461	row13	E31
C02165	Leukotriene B4	20.533358798068303	row11	E32
C04805	5-Hydroxyeicosatetraenoate	13.286486365941	row36	E22
C05938	L-4-Hydroxyglutamate semialdehyde	-3.00233569851677	row639	E141
CE2006		6.53521396304547	row181	E256
C00777	Retinoate	3.2505849225171803	row588	E330
C16679	all-trans-18-Hydroxyretinoic acid	8.42804295174827	row124	E163
C06427	(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate	12.9214407902525	row40	E83
C14775	14,15-DHET; (5Z,8Z,11Z)-14,15-Dihydroxyeicosa-5,8,11-trienoic acid; (5Z,8Z,11Z)-14,15-Dihydroxyicosa-5,8,11-trienoic acid	11.1054932216958	row65	E25
C00584	Prostaglandin E2	4.10553441150972	row431	E161
C14773	8,9-DHET; (5Z,11Z,14Z)-8,9-Dihydroxyeicosa-5,11,14-trienoic acid; (5Z,11Z,14Z)-8,9-Dihydroxyicosa-5,11,14-trienoic acid	11.1054932216958	row65	E25
C04686	(13E)-(15S)-15-Hydroxy-9-oxoprosta-11,13-dienoate; Prostaglandin C1	4.34898331423262	row397	E32
C02075	Retinyl ester; all-trans-Retinyl ester	11.1054932216958	row65	E21
C01595	linoleic acid (all cis C18:2) n-6	-6.35486501529722	row192	E289
C14813	11H-14,15-EETA; 11-Hydroxy-14,15-EETA; 11-Hydroxy-14,15-epoxyeicosatrienoic acid; (5Z,8Z,12E)-14,15-Epoxy-11-hydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-14,15-Epoxy-11-hydroxyicosa-5,8,12-trienoic acid	3.2505849225171803	row588	E32
CE5016	13,14-dihydroxy-retinol	11.1054932216958	row65	E22
C04686	(13E)-(15S)-15-Hydroxy-9-oxoprosta-11,13-dienoate; Prostaglandin C1	20.533358798068303	row11	E32
C00217	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid	-4.61097754467119	row356	E141
C14749	19(S)-HETE; (19S)-Hydroxyeicosatetraenoic acid; (19S)-Hydroxyicosatetraenoic acid; (19S)-Hydroxy arachidonic acid	11.1054932216958	row65	E22
C14762	13(S)-HODE; (13S)-Hydroxyoctadecadienoic acid; (9Z, 11E)-(13S)-13-Hydroxyoctadeca-9,11-dienoic acid	12.8868982205633	row43	E84
C04843	(5Z,9E,14Z)-(8xi,11xi,12S)-8,11,12-Trihydroxyicosa-5,9,14-trienoate; (5Z,9E,14Z)-(8xi,11xi,12S)-8,11,12-Trihydroxyicosa-5,9,14-trienoic acid; Trioxilin A3	4.34898331423262	row397	E30
C01180	2-keto-4-methylthiobutyrate	19.0286734575021	row15	E37
C14826	12(13)-EpOME; (12R,13S)-(9Z)-12,13-Epoxyoctadecenoic acid	12.8868982205633	row43	E84
C00155	L-Homocysteine	-5.68354497734968	row232	E357
C15493	9-cis-Retinoic acid	5.909361517987059	row222	E330
C01595	linoleic acid (all cis C18:2) n-6	-5.90483303129316	row223	E289
CE2577		4.62037699720619	row353	E469
C14765	13-OxoODE; 13-KODE; (9Z,11E)-13-Oxooctadeca-9,11-dienoic acid	11.413307260099401	row58	E52
C06428	(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid; Eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate	11.1054932216958	row65	E21
retinal-11-cis	cis-11-retinal	13.286486365941	row36	E62
CE5528		7.34887053434482	row148	E205
CE5928		6.787656560755019	row167	E51
C14765	13-OxoODE; 13-KODE; (9Z,11E)-13-Oxooctadeca-9,11-dienoic acid	5.07313365668975	row291	E52
C00376	Retinal	11.1054932216958	row65	E62
C00696	Prostaglandin D2	4.10553441150972	row431	E161
C05938	L-4-Hydroxyglutamate semialdehyde	-9.10639742470806	row108	E142
CE5925		4.10553441150972	row431	E51
CE5932	13,14-epoxy-retinol	13.286486365941	row36	E21
C14771	14,15-EET; (5Z,8Z,11Z)-14,15-Epoxyeicosa-5.8.11-trienoic acid; (5Z,8Z,11Z)-14,15-Epoxyicosa-5.8.11-trienoic acid	21.0399219048579	row10	E22
C04742	(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate; (15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate; (5Z,8Z,11Z,13E)-(15S)-15-Hydroxyicosa-5,8,11,13-tetraenoic acid; 15(S)-HETE	11.1054932216958	row65	E22
C14772	5,6-DHET; (8Z,11Z,14Z)-5,6-Dihydroxyeicosa-8,11,14-trienoic acid; (8Z,11Z,14Z)-5,6-Dihydroxyicosa-8,11,14-trienoic acid	11.1054932216958	row65	E25
C05953	Prostaglandin A2; PGA2; Medullin	4.10553441150972	row431	E51
C04671	(5Z)-(15S)-11alpha-Hydroxy-9,15-dioxoprostanoate	4.10553441150972	row431	E161
C04686	(13E)-(15S)-15-Hydroxy-9-oxoprosta-11,13-dienoate; Prostaglandin C1	3.2505849225171803	row588	E32
C16681	cis-9-retinal	11.1054932216958	row65	E62
C05522	Cytosine (in DNA)	5.595904386356441	row241	E362
