SOURCE	TARGET	ENZYMES
C14827	C01595	1.13.11.34
C04230	C01595	3.1.1.4
C04230	C06427	3.1.1.4
C08261	CE6506	
C08261	CE2577	
CE6506	CE2006	
C01595	C06429	3.1.2.2
C01595	C06428	3.1.2.2
C01595	C04717	;1.13.11.33;1.13.11.12
C01595	C06426	3.1.2.2;1.14.19.3;6.2.1.3
C01595	C06427	3.1.1.4;3.1.2.2;1.13.11.12;6.2.1.3
C01595	C14825	1.14.14.1
C01595	C14826	1.14.14.1
C06429	C06428	3.1.2.2
C06429	C06426	3.1.2.2
C06429	C06427	3.1.2.2
CE5527	CE5526	
C06428	C06426	3.1.2.2
C06428	C06427	3.1.2.2
C04717	CE2576	
C04717	CE5526	
C06426	C06427	3.1.2.2;6.2.1.3
CE2576	CE2577	
