EID	massfeature_rows	str_row_ion	compounds	compound_names
E2	row1073;row1790;row343	row1073_M-NH3+H[1+];row1790_M-CO2+H[1+];row343_M+H[1+]	C00064;C05100;C00819	L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid
E3	row153;row156;row263;row322;row639;row672	row153_M-H2O+H[1+];row156_M+Na[1+];row263_M+H[1+];row322_M+H[1+];row639_M-NH3+H[1+];row672_M+H[1+]	C00064;C05100;C00819	L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid
E4	row783	row783_M-H2O+H[1+]	C00064;C05100;C00819	L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid
E5	row1;row108;row129;row362;row39;row71;row822	row1_M-HCOOH+H[1+];row108_M-NH3+H[1+];row129_M+K[1+];row362_M(C13)+H[1+];row39_M+H[1+];row71_M+Na[1+];row822_M-H2O+H[1+]	C00064;C05100;C00819	L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid
E7	row153;row263;row322;row672	row153_M+H[1+];row263_M+H2O+H[1+];row322_M+H2O+H[1+];row672_M+H2O+H[1+]	C00906	5,6-Dihydrothymine
E8	row783	row783_M+H[1+]	C00906	5,6-Dihydrothymine
E9	row1;row39;row489;row792;row822	row1_M-CO+H[1+];row39_M+H2O+H[1+];row489_M+Na[1+];row792_M(C13)+H[1+];row822_M+H[1+]	C00906	5,6-Dihydrothymine
E10	row2	row2_M+H[1+]	C00519	Hypotaurine
E12	row34;row5	row34_M+H[1+];row5_M+H2O+H[1+]	C11509	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde
E13	row432	row432_M+H[1+]	C11509	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde
E14	row27;row34;row5	row27_M(C13)+H[1+];row34_M-H2O+H[1+];row5_M+H[1+]	CE5022;CE5835;CE5842	$$13'-hydroxy-alpha-tocopherol
E15	row432	row432_M-H2O+H[1+]	CE5022;CE5835;CE5842	$$13'-hydroxy-alpha-tocopherol
E20	row9	row9_M+H[1+]	C02712	N-Acetylmethionine
E21	row10;row123;row36;row65	row10_M+H2O+H[1+];row123_M(C13)+H[1+];row36_M-H2O+H[1+];row65_M+H[1+]	CE5932;C02075;C06428;CE5013	13,14-epoxy-retinol$Retinyl ester; all-trans-Retinyl ester$(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid; Eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate$
E22	row10;row36;row65	row10_M+H[1+];row36_M-H4O2+H[1+];row65_M-H2O+H[1+]	C04805;C04742;C14749;C14748;C14778;C14770;C14771;C14769;C14768;CE5016	5-Hydroxyeicosatetraenoate$(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate; (15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate; (5Z,8Z,11Z,13E)-(15S)-15-Hydroxyicosa-5,8,11,13-tetraenoic acid; 15(S)-HETE$19(S)-HETE; (19S)-Hydroxyeicosatetraenoic acid; (19S)-Hydroxyicosatetraenoic acid; (19S)-Hydroxy arachidonic acid$20-Hydroxyeicosatetraenoic acid$16(R)-HETE; (5Z,8Z,11Z,14Z)-(16R)-16-Hydroxyeicosa-5,8,11,14-tetraenoic acid; (5Z,8Z,11Z,14Z)-(16R)-16-Hydroxyicosa-5,8,11,14-tetraenoic acid$11,12-EET$14,15-EET; (5Z,8Z,11Z)-14,15-Epoxyeicosa-5.8.11-trienoic acid; (5Z,8Z,11Z)-14,15-Epoxyicosa-5.8.11-trienoic acid$8,9-EET; (5Z,11Z,14Z)-8,9-Epoxyeicosa-5,11,14-trienoic acid; (5Z,11Z,14Z)-8,9-Epoxyicosa-5,11,14-trienoic acid$5,6-EET; (8Z,11Z,14Z)-5,6-Epoxyeicosa-8,11,14-trienoic acid; (8Z,11Z,14Z)-5,6-Epoxyicosa-8,11,14-trienoic acid$13,14-dihydroxy-retinol
E24	row10	row10_M+H[1+]	C14779	9(S)-HETE; (5Z,7E,11Z,14Z)-(9S)-9-Hydroxyeicosa-5,7,11,14-tetraenoic acid; (5Z,7E,11Z,14Z)-(9S)-9-Hydroxyicosa-5,7,11,14-tetraenoic acid
E25	row10;row65	row10_M-H2O+H[1+];row65_M-H4O2+H[1+]	C14774;C14775;C14772;C14773	11,12-DHET$14,15-DHET; (5Z,8Z,11Z)-14,15-Dihydroxyeicosa-5,8,11-trienoic acid; (5Z,8Z,11Z)-14,15-Dihydroxyicosa-5,8,11-trienoic acid$5,6-DHET; (8Z,11Z,14Z)-5,6-Dihydroxyeicosa-8,11,14-trienoic acid; (8Z,11Z,14Z)-5,6-Dihydroxyicosa-8,11,14-trienoic acid$8,9-DHET; (5Z,11Z,14Z)-8,9-Dihydroxyeicosa-5,11,14-trienoic acid; (5Z,11Z,14Z)-8,9-Dihydroxyicosa-5,11,14-trienoic acid
E30	row11;row397	row11_M-H2O+H[1+];row397_M-H4O2+H[1+]	C04843;C04741;C05959;C14814;C00639;C14782	(5Z,9E,14Z)-(8xi,11xi,12S)-8,11,12-Trihydroxyicosa-5,9,14-trienoate; (5Z,9E,14Z)-(8xi,11xi,12S)-8,11,12-Trihydroxyicosa-5,9,14-trienoic acid; Trioxilin A3$Alprostadil; Prostaglandin E1; (13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprost-13-enoate$11-epi-Prostaglandin F2alpha; 11-epi-Prostaglandin F2a; 11-epi-PGF2alpha; 11-epi-PGF2a$11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid$Prostaglandin F2alpha; (5Z,13E)-(15S)-9alpha,11alpha,15-Trihydroxyprosta-5,13-dienoate; (+)-Prostaglandin F2a; 7-[3,5-Dihydroxy-2-(3-hydroxy-1-octenyl)cyclopentyl]-5-heptenoic acid; 9a,11a-PGF2; Amoglandin; Cyclosin; Dinoprost; Enzaprost; Enzaprost F; Panacelan; PGF2a; 9,11,15-Trihydroxy-(5Z,9a,11a,13E,15S)-prosta-5,13-dien-1-oic acid; Prostaglandin F2a; Prostin F 2 alpha; Protamodin; U 14583$11,12,15-THETA; 11,12,15-Trihydroxyicosatrienoic acid; (5Z,8Z,13E)-(15S)-11,12,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,13E)-(15S)-11,12,15-Trihydroxyicosa-5,8,12-trienoic acid
E31	row11;row13;row397;row588	row11_M+H2O+H[1+];row13_M(C13)+H[1+];row397_M+H[1+];row588_M-H2O+H[1+]	C00909	Leukotriene A4
E32	row11;row1252;row31;row397;row588	row11_M+H[1+];row1252_M+2H[2+];row31_M(C13)+H[1+];row397_M-H2O+H[1+];row588_M-H4O2+H[1+]	C05356;C00959;C04685;C04686;C05966;C05965;C14813;C02165;C04849;C14781	5-Hydroperoxy-6-trans-8,11,14-cis-eicosatetraenoate$Prostaglandin B1$(13E)-(15S)-15-Hydroxy-9-oxoprosta-10,13-dienoate; Prostaglandin A1; PGA1$(13E)-(15S)-15-Hydroxy-9-oxoprosta-11,13-dienoate; Prostaglandin C1$15(S)-HPETE; (5Z,8Z,11Z,13E)-(15S)-15-Hydroperoxyicosa-5,8,11,13-tetraenoic acid; 15-Hydroperoxyeicosatetraenoate; 15-Hydroperoxyicosatetraenoate; 15-Hydroperoxyeicosatetraenoic acid; 15-Hydroperoxyicosatetraenoic acid; (5Z,8Z,11Z,13E)-(15S)-15-Hydroperoxyicosa-5,8,11,13-tetraenoate$12(S)-HPETE; (5Z,8Z,10E,14Z)-(12S)-12-Hydroperoxyicosa-5,8,10,14-tetraenoic acid; (5Z,8Z,10E,14Z)-(12S)-12-Hydroperoxyicosa-5,8,10,14-tetraenoate; 12-Hydroperoxyeicosatetraenoate; 12-Hydroperoxyicosatetraenoate; 12-Hydroperoxyeicosatetraenoic acid; 12-Hydroperoxyicosatetraenoic acid$11H-14,15-EETA; 11-Hydroxy-14,15-EETA; 11-Hydroxy-14,15-epoxyeicosatrienoic acid; (5Z,8Z,12E)-14,15-Epoxy-11-hydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-14,15-Epoxy-11-hydroxyicosa-5,8,12-trienoic acid$Leukotriene B4$(5Z,9E,14Z)-(8xi,11R,12S)-11,12-Epoxy-8-hydroxyicosa-5,9,14-trienoic acid; (5Z,9E,14Z)-(8xi,11R,12S)-11,12-Epoxy-8-hydroxyicosa-5,9,14-trienoate; Hepoxilin A3$15H-11,12-EETA; 15-Hydroxy-11,12-epoxyeicosatrienoic acid; (5Z,8Z,13E)-(15S)-11,12-Epoxy-15-hydroxyeicosa-5,8,13-trienoic acid; (5Z,8Z,13E)-(15S)-11,12-Epoxy-15-hydroxyicosa-5,8,13-trienoic acid
E35	row12;row130;row271	row12_M(C13)+H[1+];row130_M+H[1+];row271_M+H2O+H[1+]	C04840	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate
E37	row15	row15_M+H[1+]	C01180	2-keto-4-methylthiobutyrate
E41	row1397;row1571;row1630;row1637;row721;row911;row921;row953	row1397_M(C13)+H[1+];row1571_M+H[1+];row1630_M+Na[1+];row1637_M-HCOOH+H[1+];row721_M+K[1+];row911_M(C13)+H[1+];row921_M+H[1+];row953_M-NH3+H[1+]	C00327	L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline
E42	row342;row798	row342_M-H2O+H[1+];row798_M-HCOOH+H[1+]	C00327	L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline
E44	row20;row200;row2093;row2282;row703	row20_M-C3H4O2+H[1+];row200_M(C13)+H[1+];row2093_M+H2O+H[1+];row2282_M+NaCl[1+];row703_M+H[1+]	elaidcrn;vacccrn;odecrn	Elaidic carnitine$Vaccenyl carnitine$octadecenoyl carnitine
E45	row1276;row20;row297	row1276_M+K[1+];row20_M-HCOOH+H[1+];row297_M+H[1+]	C02990	L-Palmitoylcarnitine
E48	row28;row602	row28_M+H2O+H[1+];row602_M+H[1+]	C00951	Estradiol-17beta; beta-Estradiol; Estradiol
E51	row124;row167;row30;row431	row124_M-H2O+H[1+];row167_M-H4O2+H[1+];row30_M(C13)+H[1+];row431_M+H[1+]	CE5928;CE5925;C05953;C05957;C05954;C05955;CE5535;CE5537	$$Prostaglandin A2; PGA2; Medullin$Prostaglandin J2; PGJ2$Prostaglandin B2; PGB2$Prostaglandin C2; PGC2$$
E52	row291;row32;row58	row291_M-H2O+H[1+];row32_M+H[1+];row58_M(C13)+H[1+]	CE5526;CE5527;C14765	$$13-OxoODE; 13-KODE; (9Z,11E)-13-Oxooctadeca-9,11-dienoic acid
E53	row291;row32	row291_M+H[1+];row32_M+H2O+H[1+]	C16300	Stearidonic acid; 6,9,12,15-Octadecatetraenoic acid; (6Z,9Z,12Z,15Z)-Octadecatetraenoic acid
E56	row291;row32	row291_M-H4O2+H[1+];row32_M-H2O+H[1+]	C04717;C14827	(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid; (9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoate; 13(S)-HPODE; 13S-Hydroperoxy-9Z,11E-octadecadienoic acid$9(S)-HPODE; 9(S)-HPOD; (10E,12Z)-(9S)-9-Hydroperoxyoctadeca-10,12-dienoic acid
E61	row132;row35;row757	row132_M+H[1+];row35_M[1+];row757_M-H2O+H[1+]	C00418	(R)-Mevalonate
E62	row36;row65	row36_M+H[1+];row65_M+H2O+H[1+]	C02110;retinal-cis-9;CE5575;C00376;C16681;CE5589;retinal-11-cis	11-cis-Retinal; 11-cis-Vitamin A aldehyde; 11-cis-Retinene$cis-9-retinal$9-cis-retinal$Retinal$cis-9-retinal$13-cis-retinal$cis-11-retinal
E66	row1288;row1320;row37	row1288_M+2H[2+];row1320_M-H4O2+H[1+];row37_M-H2O+H[1+]	C05962;C05956	$Prostaglandin G2; PGG2
E68	row1320;row37	row1320_M-H2O+H[1+];row37_M+H[1+]	C04707;C06439	(5Z,13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate; (5Z)-(15S)-11alpha-Hydroxy-9,15-dioxoprosta-13-enoate$Prostaglandin E3
E76	row1668;row324;row343	row1668_M-H4O2+H[1+];row324_M+H[1+];row343_M-CO+H[1+]	C00439	N-Formimidoyl-L-glutamate
E77	row1082;row153;row1725;row1795;row2200;row2339;row263;row322;row672	row1082_M+H[1+];row153_M-HCOOH+H[1+];row1725_M-H4O2+H[1+];row1795_M-H4O2+H[1+];row2200_M-H2O+H[1+];row2339_M-H2O+H[1+];row263_M-CO+H[1+];row322_M-CO+H[1+];row672_M-CO+H[1+]	C00439	N-Formimidoyl-L-glutamate
E79	row1239;row2227;row375;row39;row822;row960	row1239_M-CO2+H[1+];row2227_M+H[1+];row375_M+2H[2+];row39_M-CO+H[1+];row822_M-HCOOH+H[1+];row960_M+2H[2+]	C00439	N-Formimidoyl-L-glutamate
E81	row263;row316;row322;row672	row263_M-CO2+H[1+];row316_M+H[1+];row322_M-CO2+H[1+];row672_M-CO2+H[1+]	C05829	
E82	row1544;row39	row1544_M+H[1+];row39_M-CO2+H[1+]	C05829	
E83	row1710;row40;row43	row1710_M+H2O+H[1+];row40_M(C13)+H[1+];row43_M+H[1+]	C06426;C06427	(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid$(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate
