EID	massfeature_rows	str_row_ion	compounds	compound_names
E1	row3	row3_M+H[1+]	C05522;C00380	Cytosine (in DNA)$Cytosine
E2	row2;row506	row2_M+H[1+];row506_M+H2O+H[1+]	C05522;C00380	Cytosine (in DNA)$Cytosine
E5	row1097;row2149	row1097_M-CO+H[1+];row2149_M+H[1+]	C00785	Urocanate
E6	row4	row4_M+H[1+]	C00785	Urocanate
E7	row1058;row352	row1058_M+H[1+];row352_M[1+]	C00785	Urocanate
E8	row1040;row258;row55	row1040_M-CO+H[1+];row258_M+H[1+];row55_M+H2O+H[1+]	C00785	Urocanate
E9	row1831	row1831_M+H[1+]	C00785	Urocanate
E10	row1097;row163;row2149;row893	row1097_M-HCOOH+H[1+];row163_M-CO+H[1+];row2149_M-H2O+H[1+];row893_M-CO2+H[1+]	C03680	4-Imidazolone-5-propanoate
E11	row4	row4_M-H2O+H[1+]	C03680	4-Imidazolone-5-propanoate
E12	row1058	row1058_M-H2O+H[1+]	C03680	4-Imidazolone-5-propanoate
E13	row1040;row2167;row258;row55;row753	row1040_M-HCOOH+H[1+];row2167_M+H2O+H[1+];row258_M-H2O+H[1+];row55_M+H[1+];row753_M(C13)+H[1+]	C03680	4-Imidazolone-5-propanoate
E15	row104;row1183;row1831;row916	row104_M-CO+H[1+];row1183_M+H2O+H[1+];row1831_M-H2O+H[1+];row916_M-CO2+H[1+]	C03680	4-Imidazolone-5-propanoate
E16	row1427	row1427_M+H[1+]	C00135	L-Histidine
E18	row1058;row2195;row4	row1058_M-NH3+H[1+];row2195_M+H[1+];row4_M-NH3+H[1+]	C00135	L-Histidine
E20	row1777;row1831;row1902;row625;row738;row951	row1777_M+Na[1+];row1831_M-NH3+H[1+];row1902_M+H2O+H[1+];row625_M+H[1+];row738_M(C13)+H[1+];row951_M-HCOOH+H[1+]	C00135	L-Histidine
E24	row1032;row2167;row258;row326;row55	row1032_M-CO+H[1+];row2167_M+H[1+];row258_M-H4O2+H[1+];row326_M-CO+H[1+];row55_M-H2O+H[1+]	C00439	N-Formimidoyl-L-glutamate
E26	row104;row1132;row1183;row1759;row1831	row104_M-HCOOH+H[1+];row1132_M-CO2+H[1+];row1183_M+H[1+];row1759_M-CO+H[1+];row1831_M-H4O2+H[1+]	C00439	N-Formimidoyl-L-glutamate
E28	row11;row248	row11_M(C13)+H[1+];row248_M+H[1+]	C00581;gudac	Guanidinoacetate; Guanidinoacetic acid; Glycocyamine; N-Amidinoglycine; Guanidoacetic acid$Guanidinoacetate
E29	row12	row12_M+H[1+]	C05635;C16596	5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione
E35	row12;row2069;row2282	row12_M-H2O+H[1+];row2069_M-C3H4O2+H[1+];row2282_M-CO2+H[1+]	C16591	3-Carbamoyl-2-phenylpropionic acid
E40	row12;row14;row56	row12_M-NH3+H[1+];row14_M+H[1+];row56_M(C13)+H[1+]	C00328;C05647	L-Kynurenine$Formyl-5-hydroxykynurenamine
E42	row13;row40	row13_M-H2O+H[1+];row40_M-HCOOH+H[1+]	C05711;C00475	gamma-Glutamyl-beta-cyanoalanine$Cytidine
E49	row14;row858	row14_M-H2O+H[1+];row858_M+2H[2+]	C00931	Porphobilinogen
E53	row16;row638	row16_M+H[1+];row638_M+Na[1+]	C00245	Taurine
E56	row1000;row137;row1465;row1839;row1913;row2188;row985	row1000_M+H[1+];row137_M-H4O2+H[1+];row1465_M+H[1+];row1839_M-H4O2+H[1+];row1913_M-H2O+H[1+];row2188_M-H2O+H[1+];row985_M+H2O+H[1+]	C03758	Dopamine
E57	row1654;row673;row872;row905	row1654_M-H4O2+H[1+];row673_M-H2O+H[1+];row872_M+H[1+];row905_M+H2O+H[1+]	C03758	Dopamine
E58	row1380;row17;row2262	row1380_M-H4O2+H[1+];row17_M-H2O+H[1+];row2262_M+H2O+H[1+]	C03758	Dopamine
E59	row159;row66;row950	row159_M-H4O2+H[1+];row66_M+H2O+H[1+];row950_M-H2O+H[1+]	C03758	Dopamine
E60	row1020;row1725;row1913;row2188	row1020_M+H[1+];row1725_M-CO+H[1+];row1913_M-CO2+H[1+];row2188_M-CO2+H[1+]	CE5536;C01586	adrenochrome$Hippurate; Hippuric acid; N-Benzoylglycine; Benzoylaminoacetic acid
E61	row673;row838;row881	row673_M-CO2+H[1+];row838_M-CO+H[1+];row881_M+H[1+]	CE5536;C01586	adrenochrome$Hippurate; Hippuric acid; N-Benzoylglycine; Benzoylaminoacetic acid
E66	row32;row673;row872	row32_M+H[1+];row673_M-HCOOH+H[1+];row872_M-CO+H[1+]	C00082;CE2174	L-Tyrosine$
E69	row1076;row1098;row844;row950	row1076_M(C13)+H[1+];row1098_M-NH3+H[1+];row844_M+H[1+];row950_M-HCOOH+H[1+]	C00082;CE2174	L-Tyrosine$
E70	row1000;row137;row1465;row1839;row1913;row2188	row1000_M+H2O+H[1+];row137_M-H2O+H[1+];row1465_M+H2O+H[1+];row1839_M-H2O+H[1+];row1913_M+H[1+];row2188_M+H[1+]	C02505	2-Phenylacetamide
E71	row1654;row673;row872	row1654_M-H2O+H[1+];row673_M+H[1+];row872_M+H2O+H[1+]	C02505	2-Phenylacetamide
E72	row1380;row17	row1380_M-H2O+H[1+];row17_M+H[1+]	C02505	2-Phenylacetamide
E73	row159	row159_M-H2O+H[1+]	C02505	2-Phenylacetamide
E74	row1926;row950	row1926_M-NH3+H[1+];row950_M+H[1+]	C02505	2-Phenylacetamide
E75	row1000;row1465;row1913;row2188	row1000_M+H2O+H[1+];row1465_M+H2O+H[1+];row1913_M+H[1+];row2188_M+H[1+]	C02558	N-Acetylarylamine
E76	row673;row872	row673_M+H[1+];row872_M+H2O+H[1+]	C02558	N-Acetylarylamine
E77	row17	row17_M+H[1+]	C02558	N-Acetylarylamine
E78	row950	row950_M+H[1+]	C02558	N-Acetylarylamine
E81	row106;row111;row124;row539;row777	row106_M-NH3+H[1+];row111_M(C13)+H[1+];row124_M+H[1+];row539_M+Na[1+];row777_M-HCOOH+H[1+]	C00078;C00525	L-Tryptophan$D-Tryptophan
E83	row1788	row1788_M-H2O+H[1+]	C02727	N6-Acetyl-L-lysine
E84	row667;row985	row667_M-H2O+H[1+];row985_M-NH3+H[1+]	C02727	N6-Acetyl-L-lysine
E86	row20	row20_M+H[1+]	C02727	N6-Acetyl-L-lysine
E87	row1570;row19;row2262;row64	row1570_M+H[1+];row19_M+HCOOK[1+];row2262_M-NH3+H[1+];row64_M-HCOOH+H[1+]	C02727	N6-Acetyl-L-lysine
