SOURCE	TARGET	ENZYMES
C00465	C00212	2.4.2.1
C00465	C00330	2.4.2.1
C00212	C02520	3.1.3.5
C00212	C00475	3.1.3.5
C00212	C15586	2.4.2.1
C00212	C00559	2.4.2.1;3.1.3.5;3.5.4.4
C00212	C05512	2.4.2.1;3.5.4.4
C00212	C00153	2.4.2.1
C00212	C00655	3.1.3.5
C00212	C00387	2.4.2.1;3.1.3.5
C00212	C03150	2.4.2.1;3.1.3.5
C00212	C01762	2.4.2.1;3.1.3.5
C00212	C00294	2.4.2.1;3.1.3.5;3.5.4.4
C00212	C00881	3.1.3.5;2.7.1.74
C00212	C15587	2.4.2.1
C00212	C00201	2.7.1.74
C00212	C11824	3.5.4.4
C00212	C00106	2.4.2.1
C00212	C00526	2.4.2.1
C00212	C00214	3.1.3.5
C00212	C00155	3.3.1.1
C00212	G10621	3.1.3.5
C00212	C00385	2.4.2.1
C00212	C00147	2.4.2.1
C00212	C00239	3.1.3.5;2.7.1.74
C00212	C00330	2.4.2.1;3.1.3.5
C00212	C00455	3.1.3.5
C00212	C00672	2.4.2.1;3.1.3.5
C00212	C00364	3.1.3.5
C00212	C00454	2.7.1.74
C00212	C01736	2.4.2.1
C00212	C00911	3.1.3.5
C00212	C00362	3.1.3.5
C00212	C00360	3.1.3.5
C00212	C00442	2.4.2.1
C00212	C00105	3.1.3.5
C00212	C00242	2.4.2.1;3.1.3.5
C00212	C00130	3.1.3.5
C00212	C00262	2.4.2.1
C00212	C06059	3.5.4.4
C00212	C00055	3.1.3.5
C00212	C00144	3.1.3.5
C00212	C01185	3.1.3.5
C00212	C00020	2.7.1.20;3.1.3.5;2.7.1.74
C00212	C05841	2.4.2.1;3.1.3.5
C00212	C05692	3.3.1.1
C00212	C00014	3.5.4.4
C00212	C00620	2.4.2.1
C00212	C00253	2.4.2.1;3.1.3.5
C00212	C05698	3.3.1.1
C00212	C00299	3.1.3.5
C00212	C00021	3.3.1.1
C02520	C00330	3.1.3.5
C00475	C00330	3.1.3.5
C15586	C00330	2.4.2.1
C12739	C00330	2.4.2.4
C00559	C00330	2.4.2.1;3.1.3.5;2.4.2.4
C05512	C00330	2.4.2.1;2.4.2.4
C00153	C00330	2.4.2.1
C00655	C00330	3.1.3.5
C00387	C00330	2.4.2.1;3.1.3.5;2.4.2.4
C11736	C00330	2.4.2.4
C00178	C00330	2.4.2.4
C03150	C00330	2.4.2.1;3.1.3.5
C01762	C00330	2.4.2.1;3.1.3.5
C07649	C00330	2.4.2.4
C00294	C00330	2.4.2.1;3.1.3.5
C00881	C00330	3.1.3.5
C15587	C00330	2.4.2.1
C00106	C00330	2.4.2.1;2.4.2.4
C00526	C00330	2.4.2.1;2.4.2.4
C00214	C00330	3.1.3.5;2.4.2.4
G10621	C00330	3.1.3.5
C00385	C00330	2.4.2.1;2.4.2.4
C00147	C00330	2.4.2.1;2.4.2.4
C00239	C00330	3.1.3.5
C00330	C00455	3.1.3.5
C00330	C00672	2.4.2.1;3.1.3.5;2.7.1.113;2.4.2.4;3.1.3.10
C00330	C00364	3.1.3.5
C00330	C01736	2.4.2.1
C00330	C00911	3.1.3.5
C00330	C00362	3.1.3.5;2.7.1.113
C00330	C00360	3.1.3.5
C00330	C00105	3.1.3.5
C00330	C00242	2.4.2.1;3.1.3.5;2.4.2.4
C00330	C16637	2.4.2.4
C00330	C00130	3.1.3.5
C00330	C00262	2.4.2.1;2.4.2.4
C00330	C00055	3.1.3.5
C00330	C00144	3.1.3.5
C00330	C01185	3.1.3.5
C00330	C00020	3.1.3.5
C00330	C05841	2.4.2.1;3.1.3.5
C00330	C00620	2.4.2.1
C00330	C00253	2.4.2.1;3.1.3.5
C00330	C00299	3.1.3.5
