pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Selenoamino acid metabolism	1	6	0.003024955886059995	E3	C00212/C00330	Adenosine/Deoxyguanosine
Purine metabolism	1	16	0.007478363162759432	E3	C00212/C00330	Adenosine/Deoxyguanosine
Methionine and cysteine metabolism	1	23	0.008402655239055541	E3	C00212/C00330	Adenosine/Deoxyguanosine
Vitamin D3 (cholecalciferol) metabolism	0	0	0.03478699268968994			
Hyaluronan Metabolism	0	1	0.03478699268968994			
N-Glycan biosynthesis	0	1	0.03478699268968994			
Glycolysis and Gluconeogenesis	0	1	0.03478699268968994			
Glycosphingolipid biosynthesis - ganglioseries	0	2	0.03478699268968994			
R Group Synthesis	0	0	0.03478699268968994			
C5-Branched dibasic acid metabolism	0	0	0.03478699268968994			
Pyruvate Metabolism	0	0	0.03478699268968994			
Sialic acid metabolism	0	3	0.03478699268968994			
Chondroitin sulfate degradation	0	2	0.03478699268968994			
Di-unsaturated fatty acid beta-oxidation	0	1	0.03478699268968994			
Putative anti-Inflammatory metabolites formation from EPA	0	5	0.03478699268968994			
Linoleate metabolism	0	12	0.03478699268968994			
Hexose phosphorylation	0	5	0.03478699268968994			
Vitamin B2 (riboflavin) metabolism	0	0	0.03478699268968994			
Squalene and cholesterol biosynthesis	0	5	0.03478699268968994			
Galactose metabolism	0	2	0.03478699268968994			
Keratan sulfate degradation	0	2	0.03478699268968994			
Glycerolipid metabolism	0	0	0.03478699268968994			
Carnitine shuttle	0	17	0.03478699268968994			
3-oxo-10R-octadecatrienoate beta-oxidation	0	5	0.03478699268968994			
Alkaloid biosynthesis II	0	8	0.03478699268968994			
Vitamin B1 (thiamin) metabolism	0	1	0.03478699268968994			
Glycosphingolipid biosynthesis - globoseries	0	2	0.03478699268968994			
Histidine metabolism	0	33	0.03478699268968994			
Vitamin B5 - CoA biosynthesis from pantothenate	0	3	0.03478699268968994			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0.03478699268968994			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.03478699268968994			
Bile acid biosynthesis	0	8	0.03478699268968994			
Parathio degradation	0	0	0.03478699268968994			
Propanoate metabolism	0	2	0.03478699268968994			
Blood Group Biosynthesis	0	0	0.03478699268968994			
Electron transport chain	0	0	0.03478699268968994			
Vitamin H (biotin) metabolism	0	5	0.03478699268968994			
Biopterin metabolism	0	6	0.03478699268968994			
Vitamin E metabolism	0	0	0.03478699268968994			
Androgen and estrogen biosynthesis and metabolism	0	0	0.03478699268968994			
Glycine, serine, alanine and threonine metabolism	0	47	0.03478699268968994			
Caffeine metabolism	0	2	0.03478699268968994			
Lipoate metabolism	0	5	0.03478699268968994			
Heparan sulfate biosynthesis	0	0	0.03478699268968994			
Drug metabolism - cytochrome P450	0	5	0.03478699268968994			
Vitamin B9 (folate) metabolism	0	7	0.03478699268968994			
Tryptophan metabolism	0	29	0.03478699268968994			
Glyoxylate and Dicarboxylate Metabolism	0	0	0.03478699268968994			
Urea cycle/amino group metabolism	0	78	0.03478699268968994			
De novo fatty acid biosynthesis	0	2	0.03478699268968994			
Vitamin A (retinol) metabolism	0	0	0.03478699268968994			
Valine, leucine and isoleucine degradation	0	23	0.03478699268968994			
Fatty Acid Metabolism	0	6	0.03478699268968994			
Glycosaminoglycan degradation	0	0	0.03478699268968994			
Fatty acid oxidation	0	0	0.03478699268968994			
Fructose and mannose metabolism	0	1	0.03478699268968994			
ROS Detoxification	0	0	0.03478699268968994			
Xenobiotics metabolism	0	4	0.03478699268968994			
Saturated fatty acids beta-oxidation	0	3	0.03478699268968994			
CoA Catabolism	0	3	0.03478699268968994			
Omega-3 fatty acid metabolism	0	1	0.03478699268968994			
Butanoate metabolism	0	30	0.03478699268968994			
Mono-unsaturated fatty acid beta-oxidation	0	0	0.03478699268968994			
Glycosphingolipid biosynthesis - neolactoseries	0	0	0.03478699268968994			
Vitamin B3 (nicotinate and nicotinamide) metabolism	0	13	0.03478699268968994			
Ascorbate (Vitamin C) and Aldarate Metabolism	0	1	0.03478699268968994			
Geraniol degradation	0	0	0.03478699268968994			
D4&E4-neuroprostanes formation	0	0	0.03478699268968994			
Vitamin D	0	0	0.03478699268968994			
Dynorphin metabolism	0	0	0.03478699268968994			
